"year","month","supply-1","demand-1","supply-2","demand-2","supply-3","demand-3","supply-4","demand-4","supply-5","demand-5","supply-6","demand-6","supply-7","demand-7","supply-8","demand-8","supply-9","demand-9","supply-10","demand-10","supply-11","demand-11","supply-12","demand-12","user-1","demand"
2011,7,7374957,3423159,7559256,3151763,7462354,3657324,7729092,3127984,7173643,3458880,7984708,3180484,7840965,3655793,7331293,3558442,7622458,4058751,7433871,3438399,7990899,3598198,7852230,3217665,6281636,3233295
2011,8,7628535,3233295,7374957,3423159,7559256,3151763,7462354,3657324,7729092,3127984,7173643,3458880,7984708,3180484,7840965,3655793,7331293,3558442,7622458,4058751,7433871,3438399,7990899,3598198,6281636,3655747
2011,9,7563983,3655747,7628535,3233295,7374957,3423159,7559256,3151763,7462354,3657324,7729092,3127984,7173643,3458880,7984708,3180484,7840965,3655793,7331293,3558442,7622458,4058751,7433871,3438399,6281636,3361300
2011,10,7255975,3361300,7563983,3655747,7628535,3233295,7374957,3423159,7559256,3151763,7462354,3657324,7729092,3127984,7173643,3458880,7984708,3180484,7840965,3655793,7331293,3558442,7622458,4058751,6281636,3936712
2011,11,7578321,3936712,7255975,3361300,7563983,3655747,7628535,3233295,7374957,3423159,7559256,3151763,7462354,3657324,7729092,3127984,7173643,3458880,7984708,3180484,7840965,3655793,7331293,3558442,6281636,3418799
2011,12,7331993,3418799,7578321,3936712,7255975,3361300,7563983,3655747,7628535,3233295,7374957,3423159,7559256,3151763,7462354,3657324,7729092,3127984,7173643,3458880,7984708,3180484,7840965,3655793,6281636,3616268
2012,1,7660020,3616268,7331993,3418799,7578321,3936712,7255975,3361300,7563983,3655747,7628535,3233295,7374957,3423159,7559256,3151763,7462354,3657324,7729092,3127984,7173643,3458880,7984708,3180484,6365990,3086007
2012,2,7784485,3086007,7660020,3616268,7331993,3418799,7578321,3936712,7255975,3361300,7563983,3655747,7628535,3233295,7374957,3423159,7559256,3151763,7462354,3657324,7729092,3127984,7173643,3458880,6365990,3407744
2012,3,6956121,3407744,7784485,3086007,7660020,3616268,7331993,3418799,7578321,3936712,7255975,3361300,7563983,3655747,7628535,3233295,7374957,3423159,7559256,3151763,7462354,3657324,7729092,3127984,6365990,3366494
2012,4,7433771,3366494,6956121,3407744,7784485,3086007,7660020,3616268,7331993,3418799,7578321,3936712,7255975,3361300,7563983,3655747,7628535,3233295,7374957,3423159,7559256,3151763,7462354,3657324,6365990,3618713
2012,5,6984730,3618713,7433771,3366494,6956121,3407744,7784485,3086007,7660020,3616268,7331993,3418799,7578321,3936712,7255975,3361300,7563983,3655747,7628535,3233295,7374957,3423159,7559256,3151763,6365990,2921200
2012,6,7279441,2921200,6984730,3618713,7433771,3366494,6956121,3407744,7784485,3086007,7660020,3616268,7331993,3418799,7578321,3936712,7255975,3361300,7563983,3655747,7628535,3233295,7374957,3423159,6365990,3583782
2012,7,7099798,3583782,7279441,2921200,6984730,3618713,7433771,3366494,6956121,3407744,7784485,3086007,7660020,3616268,7331993,3418799,7578321,3936712,7255975,3361300,7563983,3655747,7628535,3233295,6365990,3129726
2012,8,7477575,3129726,7099798,3583782,7279441,2921200,6984730,3618713,7433771,3366494,6956121,3407744,7784485,3086007,7660020,3616268,7331993,3418799,7578321,3936712,7255975,3361300,7563983,3655747,6365990,3559496
2012,9,7174241,3559496,7477575,3129726,7099798,3583782,7279441,2921200,6984730,3618713,7433771,3366494,6956121,3407744,7784485,3086007,7660020,3616268,7331993,3418799,7578321,3936712,7255975,3361300,6365990,3546354
2012,10,6895284,3546354,7174241,3559496,7477575,3129726,7099798,3583782,7279441,2921200,6984730,3618713,7433771,3366494,6956121,3407744,7784485,3086007,7660020,3616268,7331993,3418799,7578321,3936712,6365990,3759542
2012,11,7056323,3759542,6895284,3546354,7174241,3559496,7477575,3129726,7099798,3583782,7279441,2921200,6984730,3618713,7433771,3366494,6956121,3407744,7784485,3086007,7660020,3616268,7331993,3418799,6365990,3390760
2012,12,6881245,3390760,7056323,3759542,6895284,3546354,7174241,3559496,7477575,3129726,7099798,3583782,7279441,2921200,6984730,3618713,7433771,3366494,6956121,3407744,7784485,3086007,7660020,3616268,6365990,3635194
2013,1,7130008,3635194,6881245,3390760,7056323,3759542,6895284,3546354,7174241,3559496,7477575,3129726,7099798,3583782,7279441,2921200,6984730,3618713,7433771,3366494,6956121,3407744,7784485,3086007,6452171,3239868
2013,2,7281669,3239868,7130008,3635194,6881245,3390760,7056323,3759542,6895284,3546354,7174241,3559496,7477575,3129726,7099798,3583782,7279441,2921200,6984730,3618713,7433771,3366494,6956121,3407744,6452171,3545094
2013,3,6390399,3545094,7281669,3239868,7130008,3635194,6881245,3390760,7056323,3759542,6895284,3546354,7174241,3559496,7477575,3129726,7099798,3583782,7279441,2921200,6984730,3618713,7433771,3366494,6452171,2898899
2013,4,7147439,2898899,6390399,3545094,7281669,3239868,7130008,3635194,6881245,3390760,7056323,3759542,6895284,3546354,7174241,3559496,7477575,3129726,7099798,3583782,7279441,2921200,6984730,3618713,6452171,3388267
2013,5,6788939,3388267,7147439,2898899,6390399,3545094,7281669,3239868,7130008,3635194,6881245,3390760,7056323,3759542,6895284,3546354,7174241,3559496,7477575,3129726,7099798,3583782,7279441,2921200,6452171,3056016
2013,6,7138916,3056016,6788939,3388267,7147439,2898899,6390399,3545094,7281669,3239868,7130008,3635194,6881245,3390760,7056323,3759542,6895284,3546354,7174241,3559496,7477575,3129726,7099798,3583782,6452171,3353227
